Date,Open,High,Low,Close,Adj Close,Volume,Soma,Signal
2017-01-06,116.779999,118.160004,116.470001,117.910004,112.973305,31751900,557160203200,+
2017-01-09,117.949997,119.43,117.940002,118.989998,114.00808,33561900,557193765100,+
2017-01-10,118.769997,119.379997,118.300003,119.110001,114.123047,24462100,557218227200,+
2017-01-11,118.739998,119.93,118.599998,119.75,114.736275,27588600,557245815800,+
2017-01-12,118.900002,119.300003,118.209999,119.25,114.257195,27086200,557272902000,+
2017-01-13,119.110001,119.620003,118.809998,119.040001,114.055984,26111900,557299013900,-
2017-01-17,118.339996,120.239998,118.220001,120.0,114.975792,34439800,557333453700,+
2017-01-18,120.0,120.5,119.709999,119.989998,114.966225,23713000,557357166700,-
2017-01-19,119.400002,120.089996,119.370003,119.779999,114.765007,25597300,557382764000,+
2017-01-20,120.449997,120.449997,119.730003,120.0,114.975792,32597900,557415361900,-
2017-01-23,120.0,120.809998,119.769997,120.080002,115.052444,22050200,557437412100,+
2017-01-24,119.550003,120.099998,119.5,119.970001,114.94706,23211000,557460623100,+
2017-01-25,120.419998,122.099998,120.279999,121.879997,116.777084,32377600,557493000700,+
2017-01-26,121.669998,122.440002,121.599998,121.940002,116.834564,26337600,557519338300,+
2017-01-27,122.139999,122.349998,121.599998,121.949997,116.844154,20562900,557539901200,-
2017-01-30,120.93,121.629997,120.660004,121.629997,116.53756,30377500,557570278700,+
2017-01-31,121.150002,121.389999,120.620003,121.349998,116.269257,49201000,557619479700,+
2017-02-01,127.029999,130.490005,127.010002,128.75,123.359444,111985000,557731464700,+
2017-02-02,127.980003,129.389999,127.779999,128.529999,123.148666,33710400,557765175100,+
2017-02-03,128.309998,129.190002,128.160004,129.080002,123.675636,24507300,557789682400,+
2017-02-06,129.130005,130.5,128.899994,130.289993,124.834976,26845900,557816528300,+
2017-02-07,130.539993,132.089996,130.449997,131.529999,126.023041,38183800,557854712100,+
2017-02-08,131.350006,132.220001,131.220001,132.039993,126.511688,23004100,557877716200,+
2017-02-09,131.649994,132.449997,131.119995,132.419998,127.425858,28349900,557906066100,+
2017-02-10,132.460007,132.940002,132.050003,132.119995,127.137177,20065500,557926131600,-
2017-02-13,133.080002,133.820007,132.75,133.289993,128.263062,23035400,557949167000,+
2017-02-14,133.470001,135.089996,133.25,135.020004,129.927811,33226200,557982393200,+
2017-02-15,135.520004,136.270004,134.619995,135.509995,130.399323,35623100,558018016300,-
2017-02-16,135.669998,135.899994,134.839996,135.350006,130.245407,22584600,558040600900,-
2017-02-17,135.100006,135.830002,135.100006,135.720001,130.601425,22198200,558062799100,+
2017-02-21,136.229996,136.75,135.979996,136.699997,131.544464,24507200,558087306300,+
2017-02-22,136.429993,137.119995,136.110001,137.110001,131.938995,20836900,558108143200,+
2017-02-23,137.380005,137.479996,136.300003,136.529999,131.380859,20788200,558128931400,-
2017-02-24,135.910004,136.660004,135.279999,136.660004,131.505997,21776600,558150708000,+
2017-02-27,137.139999,137.440002,136.279999,136.929993,131.765778,20257400,558170965400,-
2017-02-28,137.080002,137.440002,136.699997,136.990005,131.823517,23482900,558194448300,-
2017-03-01,137.889999,140.149994,137.600006,139.789993,134.517914,36414600,558230862900,+
2017-03-02,140.0,140.279999,138.759995,138.960007,133.719223,26211000,558257073900,-
2017-03-03,138.779999,139.830002,138.589996,139.779999,134.508286,21108100,558278182000,+
2017-03-06,139.369995,139.770004,138.600006,139.339996,134.084869,21750000,558299932000,-
2017-03-07,139.059998,139.979996,138.789993,139.520004,134.258087,17446300,558317378300,+
2017-03-08,138.949997,139.800003,138.820007,139.0,133.757706,18707200,558336085500,+
2017-03-09,138.740005,138.789993,137.050003,138.679993,133.449783,22155900,558358241400,-
